month_year,facility_id,Prod Vol Non-Concentrate (kL),Prod Vol Concentrate (kg),Prod Vol Non-Concentrate as Final Bev (kL)
Oct 2023,6724,16138.4770,,16138.4770
Jun 2023,90013,0.0000,,0.0000
Oct 2023,91151,0.0000,,0.0000
Mar 2023,81375,,,
Sep 2023,81819,,,
Oct 2023,90692,,,
Jun 2023,3475,0.0000,,0.0000
May 2023,91111,1413.6800,,1413.6800
Jun 2023,91016,,,
Sep 2023,89998,,,
Dec 2023,6208,1478.7320,,1495.7400
Jan 2023,81354,,,
Jan 2023,6658,40371.0000,,43944.0000
Feb 2023,90152,,,
Feb 2023,81391,,214723.0000,0.0000
Apr 2023,90284,,,
Mar 2023,90605,,,
Jan 2023,81770,,,
Dec 2023,90250,,,
Mar 2023,90270,,,
Dec 2023,81906,,,
Jul 2023,1124,0.0000,,0.0000
May 2023,404,10563.7000,,10563.7000
Jan 2023,90651,,,
Nov 2023,90364,,,
Aug 2023,5205,26603.6700,,26903.6100
Jul 2023,810,31679.1530,,37984.7390
Feb 2023,90722,,,
Jan 2023,11117,,,
Oct 2023,7413,29112.3744,,29112.3744
Mar 2023,7103,25220.0353,,25220.0353
Feb 2023,90528,,,
May 2023,424,1239.5160,,1239.5160
Jun 2023,81944,,,
Dec 2023,91053,,,
Aug 2023,91187,,,
Feb 2023,90871,9722.2600,,9722.2600
Jul 2023,8456,13725.0000,,13725.0000
May 2023,81893,,,
Sep 2023,82853,,,
Aug 2023,90922,,,
Dec 2023,90455,,,
Mar 2023,3476,4645.4614,,4645.4614
Mar 2023,6639,53591.4363,,53591.4363
Feb 2023,81912,,,
Dec 2023,90738,,,
Oct 2023,81968,,,
Jun 2023,82599,,,
May 2023,90594,,,
Jul 2023,81392,,1130618.1710,0.0000
Jun 2023,4511,0.0000,,0.0000
Jan 2023,90575,,,
Apr 2023,90261,,,
Apr 2023,90446,,,
Apr 2023,90276,,,
Dec 2023,10096,,,
Mar 2023,1804,14038.2300,,16348.4330
May 2023,82729,,,
Oct 2023,89941,,,
Sep 2023,81898,,,
May 2023,11118,,,
Jun 2023,90047,0.0000,,0.0000
Nov 2023,2373,317.5370,,317.5370
Apr 2023,90678,,,
Sep 2023,259,56.9920,,284.9600
Oct 2023,81875,,,
Mar 2023,90868,2296.8000,,2296.8000
Jul 2023,90248,,,
Apr 2023,90323,,,
Mar 2023,82840,,,
Jul 2023,90300,,,
May 2023,90808,,,
Jul 2023,90802,,,
Apr 2023,89980,,,
May 2023,90386,,,
Jun 2023,90721,,,
Sep 2023,2014,103.6490,,103.6490
Sep 2023,2803,6013.2747,,6013.2747
Oct 2023,91150,2376.0651,,2376.0651
Jan 2023,82864,,,
Jan 2023,81828,,,
May 2023,90870,5008.6600,,5008.6600
Dec 2023,229,75626.0002,,75626.0002
Feb 2023,90663,,,
Apr 2023,9614,3313.9020,,3313.9020
Apr 2023,2919,8085.4968,,8230.3668
Jul 2023,8001,14731.5501,,15274.6779
Apr 2023,4806,2320.0000,,2320.0000
May 2023,90333,,,
Jan 2023,524,2521.5150,,2521.5150
May 2023,90413,,,
Nov 2023,5826,31003.3370,,31003.3370
Dec 2023,6725,20384.3100,,20384.3100
Jun 2023,90981,,,
Jan 2023,621,25988.3600,,27137.4800
May 2023,90725,,,
Apr 2023,8207,892.4723,,892.4723
Oct 2023,90814,,,
Jun 2023,90313,,,
Apr 2023,90658,,,
Feb 2023,8491,36462.0000,,36462.0000
Jun 2023,90681,,,
Jul 2023,90293,,,
Nov 2023,81874,,,
Oct 2023,3434,15574.2130,,15574.2130
Apr 2023,82875,,,
Jun 2023,5209,13794.2840,,13794.2840
Apr 2023,91174,,,
Apr 2023,6724,17117.2650,,17117.2650
Aug 2023,82889,,,
Jan 2023,90333,,,
Jan 2023,90765,1428.0000,,1428.0000
Sep 2023,90557,,,
May 2023,7700,44658.3390,,44658.3390
Dec 2023,91074,5271.4887,,5271.4887
May 2023,90785,0.0000,,0.0000
Jul 2023,9132,26197.8180,,27193.0570
May 2023,8478,0.0000,,0.0000
Dec 2023,11136,,,
May 2023,701,3982.0626,,3982.0626
Apr 2023,1124,0.0000,,0.0000
Dec 2023,82051,,,
May 2023,90497,,,
Jun 2023,81384,,1043594.0000,0.0000
Sep 2023,517,28310.8414,,28310.8414
Jun 2023,3626,1598.5890,,1598.5890
Feb 2023,8657,27331.5500,,32298.7000
Apr 2023,90953,,,
Nov 2023,90556,,,
Dec 2023,90333,,,
Jul 2023,54,294.9090,,294.9090
Nov 2023,82723,,,
Aug 2023,11155,,,
Jan 2023,3821,3382.7424,,3393.3024
Nov 2023,90863,0.0000,,0.0000
May 2023,8023,93630.0744,,93630.0744
Jan 2023,90478,,,
Aug 2023,632,3055.0000,,3055.0000
Feb 2023,8658,5927.6713,,5927.6713
Jun 2023,1939,13477.8030,,13712.0590
Mar 2023,82031,,,
Sep 2023,9190,13539.1060,,13539.1060
Jun 2023,81882,,,
May 2023,540,9468.3402,,9468.3402
Dec 2023,9048,976.6143,,976.6143
Jul 2023,91006,,,
Jun 2023,90206,0.0000,,0.0000
Dec 2023,90001,0.0000,,0.0000
Dec 2023,5035,11527.2669,,11527.2669
Feb 2023,90431,,,
Nov 2023,91136,,,
Mar 2023,90763,17898.8180,,17898.8180
Sep 2023,90314,,,
Nov 2023,6220,10925.0000,,10925.0000
Jun 2023,91097,,,
Sep 2023,90771,,,
Mar 2023,90792,0.0000,,0.0000
May 2023,81750,,,
Aug 2023,2821,1751.2358,,1751.2358
